"","idx","id","uptime","ifans","gender","num_fans","fans_cat","num_videos","num_charge","av_coin","av_danmu","av_star","av_like","av_play","av_comment","av_share"
"1048",1047,"27534330",0.996017919362867,0.186206611399392,"1",0.0975845735496502,"3",0.00707495429616088,0.0168292682926829,0.00920337058507142,0.0433695652173913,0.0214171337069656,0.0386832034671954,0.0708614408396839,0.0866202629543697,0.121359223300971
"1049",1048,"29296192",0.997511199601792,0.104215335634988,"0",0.0646734173330669,"3",0.00797074954296161,0.029780487804878,0.00439371302217176,0.0682608695652174,0.00424739791833467,0.0208591744269603,0.0561645749351019,0.0186514145937877,0.00604022191400832
"1050",1049,"346563107",0.999004479840717,0.141241653056584,"0",0.0736903022077161,"3",0.0146800731261426,0.122764227642276,0.0032648060718341,0.0695516304347826,0.00707566052842274,0.0348035252218445,0.0600897317821972,0.0508102663716973,0.0309223300970874
"1051",1050,"300722822",0.996017919362867,0.0717992185400343,"0",0.0526659007365999,"3",0.000676416819012797,0.0745121951219512,0.000727305324807267,0.0143885869565217,0.00640512409927942,0.00132977377539924,0.0104859366648976,0.012230435799205,0.00553398058252427
"1052",1051,"38351330",0.997511199601792,0.0623514089020281,"0",0.0404239640764276,"3",0.00204753199268739,0.0189837398373984,0.00319070100998028,0.00529891304347826,0.00282025620496397,0.0109069563193211,0.014268769122499,0.0132736200291372,0.00782940360610264
"1053",1052,"34189415",0.997511199601792,0.0968348804035476,"0",0.0580102046131974,"3",0.00959780621572212,0.0164390243902439,0.00337297555728202,0.0527038043478261,0.00551841473178543,0.0199033116708593,0.0565840573462419,0.0316012877929459,0.0143065187239945
"1054",1053,"470156882",0.997511199601792,0.0723987513179385,"0",0.0573069444220811,"3",0.00175502742230347,0.00808130081300813,0.00341779716727425,0.0360054347826087,0.00784627702161729,0.0139994534714124,0.0611159655380218,0.013831184014101,0.0345353675450763
"1055",1054,"32820037",0.999004479840717,0.144177296313907,"1",0.0953800777990466,"3",0.00868372943327239,0.0670731707317073,0.000751807804936353,0.0161413043478261,0.0019835868694956,0.011806591854475,0.0211303028475739,0.00883109408442598,0.0026629680998613
"1056",1055,"2142762",0.999004479840717,0.11668148270658,"0",0.0692505282739011,"3",0.00307129798903108,0.113821138211382,0.000564154664435546,0.0113722826086957,0.000750600480384307,0.00367332434447494,0.00838103385185604,0.00588140074461771,0.00144937586685159
"1057",1056,"16206007",0.991040318566451,0.0843273862438238,"1",0.0532483990767165,"3",0.0050091407678245,0.0110650406504065,0.00639454969222495,0.0436820652173913,0.00711168935148119,0.0211403105316958,0.0454153381496406,0.0202701487436824,0.02125520110957
"1058",1057,"265059948",0.993529118964659,0.210808128837527,"0",0.060941639349231,"3",0.00093235831809872,0.419512195121951,0.00121914779178868,0.00485054347826087,0.00233586869495596,0.0070835052949174,0.00775930099248789,0.0110793359592798,0.0012621359223301
"1059",1058,"612492134",0.999502239920358,0.0845754687726117,"0",0.0469190573566699,"3",0.0583546617915905,0.0637479674796748,0.000603000059762147,0.00236413043478261,0.000816653322658127,0.00218498980600484,0.00339218946222729,0.00183456536988075,0.00262135922330097
"1060",1059,"1217628212",0.998008959681434,0.0869322527960968,"1",0.0614388703510239,"3",0.00312614259597806,0,0.00148628458734238,0.00986413043478261,0.0244195356285028,0.0542019164485988,0.124293012958636,0.0188852317487725,0.00826629680998613
"1061",1060,"11742550",0.99701343952215,0.126460069049637,"0",0.045330210258222,"3",0.0073308957952468,0.0178780487804878,0.0285059463335923,0.0170516304347826,0.109287429943955,0.061736364055512,0.0639099431189341,0.0155938056439864,0.0700416088765603
"1062",1061,"3379951",0.963663514186162,0.0772983812614997,"0",0.0389866612615872,"3",0.00157221206581353,0.0495040650406504,0.0338851371541266,0.0346875,0.0730584467574059,0.0495350571099883,0.0772810198815936,0.131063508336481,0.0825242718446602
"1063",1062,"474702359",0.996515679442509,0.0815571313390255,"0",0.0639630535036565,"3",0.00254113345521024,0.0102276422764228,0.00902408414510249,0.0375,0.0152261809447558,0.0625797723697187,0.0954985417368145,0.0357020809726794,0.0419833564493759
"1064",1063,"6087825",0.998506719761075,0.124247999834612,"1",0.0883829940793543,"3",0.00945155393053016,0.0291788617886179,0.00830634076376023,0.059320652173913,0.00970776621297038,0.0491414665633585,0.12162630334496,0.0238853216784475,0.0448682385575589
"1065",1064,"1869712375",0.993529118964659,0.101114304025139,"0",0.0791601036941761,"3",0.00179159049360146,0.00322764227642276,0.0165541146237973,0.0929076086956522,0.0244195356285028,0.141129200032837,0.244969038827217,0.0459900357920107,0.087378640776699
"1066",1065,"8366990",0.99701343952215,0.152963552541812,"1",0.0930619238357374,"3",0.00511882998171846,0.0894308943089431,0.0120115938564513,0.121304347826087,0.0155864691753403,0.0555513697513295,0.119341622355716,0.0337955718628033,0.0112066574202497
"1067",1066,"404194769",0.999502239920358,0.0598499100700833,"0",0.0249001465243792,"3",0.0107495429616088,0.00364227642276423,0.000318532241678121,0.00167119565217391,0.00204363490792634,0.0087140947023837,0.00988667607755481,0.00455044155470422,0.000610263522884882
"1068",1067,"10462362",0.999502239920358,0.133757830104815,"0",0.0546975412887136,"3",0.0210237659963437,0.136585365853659,0.00717145759875695,0.0485054347826087,0.0052341873498799,0.0242322454115776,0.0750636808008519,0.0266191837982698,0.00651872399445215
"1069",1068,"21031789",0.989547038327526,0.0610076285377602,"0",0.0474376229521395,"3",0.0050091407678245,0.00675609756097561,0.00166019243411223,0.0034375,0.0030164131305044,0.0111318652031096,0.0191003076079502,0.00462238529469954,0.00581137309292649
"1070",1069,"574115689",0.999502239920358,0.0623307353579624,"0",0.0329533044704617,"3",0.0240219378427788,0.0124146341463415,0.000528297376441762,0.00179347826086957,0.00077662129703763,0.00378296742532182,0.0053248048564078,0.00473030090469253,0.000859916782246879
"1071",1070,"5374954",0.993529118964659,0.0763887453226107,"0",0.035349598455006,"3",0.00413162705667276,0.00941463414634146,0.0174505468236419,0.0122690217391304,0.077662129703763,0.11183481791939,0.187949468849124,0.0247486465583913,0.0742024965325936
"1072",1071,"25623387",0.999502239920358,0.138554092328048,"1",0.0351720074976534,"3",0.0478062157221207,0.00247154471544715,2.21119942628339e-05,0.00112771739130435,0.00236589271417134,0.00516953069387764,0.00852335824134995,0.00377704634975449,0.00276699029126214
"1073",1072,"15960317",0.996515679442509,0.084616815860743,"1",0.0614412619092496,"3",0.00453382084095064,0.0179105691056911,0.00424311241259786,0.0109103260869565,0.00756004803843074,0.0127624546105759,0.0283513929250546,0.0164571305239303,0.00410540915395284
"1074",1073,"53456",0.996515679442509,0.187447024043332,"1",0.0893135706958819,"3",0.00387568555758684,0.209756097560976,0.0806788979860157,0.161684782608696,0.172137710168135,0.172728898205115,0.187822125974313,0.0910807748340798,0.0644313453536755
"1075",1074,"3046429",0.996515679442509,0.118707490025015,"1",0.052189956970895,"3",0.00641681901279707,0.0983739837398374,0.00681228709735254,0.00578804347826087,0.0204163330664532,0.0193972666823353,0.0369358008387401,0.0142808323890717,0.0107212205270458
"1076",1075,"414641554",0.993031358885017,0.0627235326952099,"1",0.0460429419670637,"3",0.00621572212065814,0.00528455284552846,0.00513894699097592,0.0170380434782609,0.00831064851881505,0.027662668161561,0.0608837520604264,0.0177161459738484,0.0477392510402219
"1077",1076,"18202105",0.996017919362867,0.37714746438982,"1",0.241440352643548,"3",0.0063436928702011,0.0951219512195122,0.128488615311062,0.220108695652174,0.100880704563651,0.235815840107776,0.361023417231064,0.117250310257379,0.0748959778085992
"1078",1077,"533459953",0.998008959681434,0.163507060015298,"0",0.103300634496972,"3",0.00606946983546618,0.0330650406504065,0.00346441164166617,0.0601630434782609,0.00529423538831065,0.0462176510741086,0.0850938797890753,0.0363315886976384,0.0175450762829404
